index,nombre,sector,precio,area,habitaciones,banos,parqueadero,codigoSector,acabados,tipoAcabados
6622,Hermosa Casa de Venta en Puembo,Puembo,294500,247,3,3,2.0,13,263,1
6630,Inmobusiness Vende Departamento de Lujo por Estrenar Sector Gonzalez Suarez,González Suárez,185996,104,2,2,1.0,11,167,1
6633,Cumbaya Casa de Venta en Conjunto Privado Sector Santa Ines,Cumbayá,330000,510,3,2,2.0,14,295,1
6640,Casa 4 Habitaciones - Vista Hermosa,Cumbayá,330000,419,4,4,2.0,14,295,1
6650,Vendo Casa Independiente Puembo - Remax Sol - Mony Miranda,Puembo,350000,1640,3,2,3.0,13,302,2
6661,Lujosa Casa de Oportunidad en Ponciano Alto,Ponceano,165000,200,4,3,2.0,7,141,1
6662,Inmobusiness Vende/renta Casa Independiente Para Oficina Sector El Batan,El Batán,480000,700,4,4,3.0,2,438,2
6668,Venta Hermosa Casa en Quito Tenis Ideal Proyecto Constructor o Vivienda Familiar,Quito Tenis,430000,550,4,3,4.0,12,373,2
6669,Excelente Casa en Cumbayá Linda y Amplia 6 Habitaciones,Cumbayá,380000,323,6,6,4.0,14,311,2
6674,Vendo Casa Independiente Una Planta en Carcelen,Carcelén,149000,263,3,2,1.0,9,138,1
6675,"Vendo Hermosa Casa. Cumbayá, La Primavera. Conjunto Residencial. 3 Dorm..",Cumbayá,235000,310,3,4,2.0,14,200,1
6676,Vendo Casa Independiente Sector El Batan Calle Portugal,El Batán,300000,421,4,3,3.0,2,258,1
6678,Venta Casas Conjunto Puembo en Construccion Casas 2 Pisos,Puembo,335000,330,3,3,3.0,13,287,1
6686,Inmobusiness Vende Moderna Casa en Jacarandá,Cumbayá,800000,1071,5,5,5.0,14,713,2
6690,Venta - Ponceano Alto - Casa 3 Dorm 110 m - $115.000 / Nicole Tapia,Ponceano,115000,100,3,2,1.0,7,103,1
6704,Casa - Cumbayá,Cumbayá,1000000,825,3,3,5.0,14,913,3
6716,En Venta Amplia Casa Conj Diamond Miravalle Primavera 1,Cumbayá,365000,495,4,4,4.0,14,296,1
6734,Casa - Cumbayá,Cumbayá,225000,240,3,3,2.0,14,190,1
6746,Casa de Oportunidad por Colegio Menor,Cumbayá,399000,1200,4,3,2.0,14,364,2
6747,"Casa Amplia en Quito Tenis, Ubicación Excelente.",Quito Tenis,480000,600,5,3,4.0,12,423,2
6754,Casa de Venta en Cumbayá Sector La Primavera,Cumbayá,360000,646,7,4,4.0,14,291,1
6759,"Puembo, Vendo Casa en Planos, 94.68 m², Tres Dorm., Conjunto Habitacional.",Puembo,111482,94,3,2,1.0,13,96,1
6765,Casa en Venta Sector Santa Ines - Cumbaya - Mav,Cumbayá,900000,3045,4,4,10.0,14,727,2
6769,"Casa con Acabados de Lujo, Urbanización Cerrada en Cumbayá, 4 Dorm.",Cumbayá,480000,676,4,5,3.0,14,428,2
6775,Casa de Lujo Dentro de Urbanización Privada Sector Tanda,Cumbayá,955500,1740,3,3,3.0,14,904,3
6780,Vendo Hermosa Casa en Sector Quitumbe,Quito Tenis,89000,120,3,2,1.0,12,75,1
6782,Inmobusiness Vende Casa Comercial en La Machala,San Carlos,157000,174,4,3,2.0,4,130,1
6784,"Vendo Casa en San Juan de Cumbaya, Universidad San Francisco.",Cumbayá,193000,245,3,2,2.0,14,158,1
6785,Arriendo Amplia Cada en Cumbaya La Primavera,Cumbayá,335000,500,4,4,3.0,14,283,1
6792,Ponceano - Casa de Venta Dentro de Conjunto,Ponceano,165000,279,3,2,2.0,7,141,1
6795,Linda Casa en Cumbaya!,Cumbayá,190000,200,4,3,0.0,14,190,1
6800,Vendo Casa en Conjunto Intervalles - Remax Sol - Mony Miranda -,Cumbayá,320000,395,3,4,2.0,14,285,1
6805,"Cumbaya, Casa en Conjunto, Venta 5 Dorm.",Cumbayá,235000,330,5,4,3.0,14,183,1
6806,Pillahua Hermosa Casa Una Sola Planta,Cumbayá,760000,1000,3,4,0.0,14,760,2
6819,"Casa en Venta Cumbaya ""Urbanización Pillagua""",Cumbayá,234000,234,4,4,2.0,14,199,1
6820,"Cumbaya, Casa Estilo Contemporaneo, en Urbanización Cerrada, Amplio Jardín",Cumbayá,669000,1200,5,5,4.0,14,600,2
6821,"Cumbaya, Casa Estilo Contemporáneo con Amplio Jardín en Urbanización Cerrado",Cumbayá,1119000,2400,5,5,4.0,14,1050,3
6824,Casa en Pillagua de 4 Dormtorios Dentro de Conjunto,Cumbayá,2500000,2195,4,4,6.0,14,2396,3
6829,"Inmobusiness Vende o Arrienda Casa Sector Club Arrayanes, Puembo",Puembo,750000,1853,4,4,4.0,13,686,2
6830,Inmobusiness Vende Casa Moderna en San Juan Alto de Cumbayá,Cumbayá,600000,1100,4,4,2.0,14,565,2
6835,Inmobusiness Vende Casa en Urbanización Privada Lumbisí,Cumbayá,245000,298,3,2,3.0,14,193,1
6837,Inmobusiness Vende Casa Rentera en Quito Sector La Kennedy,La Luz,290000,286,3,1,3.0,8,254,1
6842,"Vendo Casa Quito Tenis Para Constructores 600 M²t, 600 m² Cosnt $450.000",Quito Tenis,450000,600,5,5,3.0,12,408,2
6843,Venta Casa Jardines del Este,Cumbayá,850000,1200,3,3,3.0,14,798,2
6844,"De Venta en Ponceano Alto, Casa en Tres Plantas, Dentro de Conjunto",Ponceano,155000,170,5,3,2.0,7,131,1
6846,"Carcelén, Casa Rentera en Obra Gris, 207 m², 3 Departamentos, 5 Parqueaderos",Carcelén,170000,500,8,5,0.0,9,170,1
6850,Vendo Casa de Lujo en El Rancho!,Cumbayá,1800000,1139,4,7,0.0,14,1800,3
6869,Casa de Lujo en Venta Puembo,Puembo,870000,1380,3,3,4.0,13,806,3
6871,Vendo Propiedad Rentera 600 m² San Carlos,San Carlos,290000,700,10,7,2.0,4,263,1
6876,Casa de Venta en Cumbaya Excelente Ubicación $169.000,Cumbayá,169000,150,3,2,2.0,14,134,1
6877,Espectacular Casa Esquinera en Venta con Terreno de 970 m² - Quito Tenis,Quito Tenis,750000,970,3,3,3.0,12,708,2
6886,"Hermosa Casa 4 Dorm. C/baño, con Suite Incluida y Piscina",Carcelén,205000,410,5,6,2.0,9,182,1
6889,En Venta Acogedora Casa en El Mejor Sector de Cumbaya,Cumbayá,175000,194,3,2,2.0,14,140,1
6892,Vendo Hermosa Casa Sector Jacaranda,Cumbayá,370000,256,4,3,2.0,14,335,2
6893,Vendo Hermosa Casa Grande de Seis Cuartos en Lumbisi,Cumbayá,380000,426,6,6,4.0,14,311,2
6903,"Venta Casa 180 m², 3 Habitaciones en Cumbayá, Muy Cerca de La Usfq",Cumbayá,198000,180,3,3,2.0,14,163,1
6909,Preciosa Casa Dentro de Conjunto en Yanazarapata (San Juan Alto),Cumbayá,220000,144,3,3,2.0,14,185,1
6910,Inmobusiness Vende Casa Sector Portal Shopping,Carcelén,89000,139,4,2,1.0,9,78,1
6919,Vendo Casa Santa Lucia de Cumbaya - Remax Sol - Mony Miranda,Cumbayá,325000,400,4,4,0.0,14,325,2
6921,Casa en Venta Quito Rincón del Valle,Cumbayá,1299500,1000,6,6,4.0,14,1230,3
6926,Casa - Cumbayá,Cumbayá,230000,299,3,2,2.0,14,195,1
6928,Casa en Venta Sector San Juan Cumbayá,Cumbayá,205000,197,3,3,2.0,14,170,1
6932,Vendo Bonita Casa Cuatro Dorm. - Cumbaya,Cumbayá,550000,489,4,3,2.0,14,515,2
